Stableton Morningstar PitchBook Unicorn 20 AMC All Investors - CH1234846777 (USD),,,,,,,,,,
Date,CCY Chart Price,Chart Price,CCY Adjusted Chart Price,Adjusted Chart Price,CCY Total Return Chart Price,Total Return Chart Price,Net Asset Value,Issue Price,Redemption Price,Closing Price
16/06/2023,USD,99.74,USD,99.74,USD,99.74,99.74,,,
19/06/2023,USD,99.72,USD,99.72,USD,99.72,99.72,,,
20/06/2023,USD,99.71,USD,99.71,USD,99.71,99.71,,,
21/06/2023,USD,99.7,USD,99.7,USD,99.7,99.7,,,
22/06/2023,USD,99.69,USD,99.69,USD,99.69,99.69,,,
23/06/2023,USD,99.68,USD,99.68,USD,99.68,99.68,,,
26/06/2023,USD,99.66,USD,99.66,USD,99.66,99.66,,,
27/06/2023,USD,99.65,USD,99.65,USD,99.65,99.65,,,
28/06/2023,USD,99.64,USD,99.64,USD,99.64,99.64,,,
29/06/2023,USD,99.63,USD,99.63,USD,99.63,99.63,,,
30/06/2023,USD,99.62,USD,99.62,USD,99.62,99.62,,,
03/07/2023,USD,99.6,USD,99.6,USD,99.6,99.6,,,
04/07/2023,USD,99.59,USD,99.59,USD,99.59,99.59,,,
05/07/2023,USD,99.58,USD,99.58,USD,99.58,99.58,,,
06/07/2023,USD,99.57,USD,99.57,USD,99.57,99.57,,,
07/07/2023,USD,99.46,USD,99.46,USD,99.46,99.46,,,
10/07/2023,USD,99.44,USD,99.44,USD,99.44,99.44,,,
11/07/2023,USD,99.43,USD,99.43,USD,99.43,99.43,,,
12/07/2023,USD,99.42,USD,99.42,USD,99.42,99.42,,,
13/07/2023,USD,99.41,USD,99.41,USD,99.41,99.41,,,
14/07/2023,USD,99.4,USD,99.4,USD,99.4,99.4,,,
17/07/2023,USD,99.38,USD,99.38,USD,99.38,99.38,,,
18/07/2023,USD,99.37,USD,99.37,USD,99.37,99.37,,,
19/07/2023,USD,99.36,USD,99.36,USD,99.36,99.36,,,
20/07/2023,USD,99.35,USD,99.35,USD,99.35,99.35,,,
21/07/2023,USD,99.34,USD,99.34,USD,99.34,99.34,,,
24/07/2023,USD,99.32,USD,99.32,USD,99.32,99.32,,,
25/07/2023,USD,99.31,USD,99.31,USD,99.31,99.31,,,
26/07/2023,USD,99.3,USD,99.3,USD,99.3,99.3,,,
27/07/2023,USD,99.29,USD,99.29,USD,99.29,99.29,,,
28/07/2023,USD,99.28,USD,99.28,USD,99.28,99.28,,,
31/07/2023,USD,99.26,USD,99.26,USD,99.26,99.26,,,
02/08/2023,USD,99.24,USD,99.24,USD,99.24,99.24,,,
03/08/2023,USD,99.23,USD,99.23,USD,99.23,99.23,,,
04/08/2023,USD,99.23,USD,99.23,USD,99.23,99.23,,,
07/08/2023,USD,99.2,USD,99.2,USD,99.2,99.2,,,
08/08/2023,USD,99.19,USD,99.19,USD,99.19,99.19,,,
09/08/2023,USD,99.18,USD,99.18,USD,99.18,99.18,,,
10/08/2023,USD,99.17,USD,99.17,USD,99.17,99.17,,,
11/08/2023,USD,99.17,USD,99.17,USD,99.17,99.17,,,
14/08/2023,USD,99.14,USD,99.14,USD,99.14,99.14,,,
15/08/2023,USD,99.13,USD,99.13,USD,99.13,99.13,,,
16/08/2023,USD,99.12,USD,99.12,USD,99.12,99.12,,,
17/08/2023,USD,99.12,USD,99.12,USD,99.12,99.12,,,
18/08/2023,USD,99.11,USD,99.11,USD,99.11,99.11,,,
22/08/2023,USD,99.07,USD,99.07,USD,99.07,99.07,,,
23/08/2023,USD,99.07,USD,99.07,USD,99.07,99.07,,,
24/08/2023,USD,99.06,USD,99.06,USD,99.06,99.06,,,
25/08/2023,USD,99.05,USD,99.05,USD,99.05,99.05,,,
28/08/2023,USD,99.03,USD,99.03,USD,99.03,99.03,,,
29/08/2023,USD,99.02,USD,99.02,USD,99.02,99.02,,,
30/08/2023,USD,99.01,USD,99.01,USD,99.01,99.01,,,
31/08/2023,USD,99,USD,99,USD,99,99,,,
01/09/2023,USD,98.99,USD,98.99,USD,98.99,98.99,,,
04/09/2023,USD,98.97,USD,98.97,USD,98.97,98.97,,,
05/09/2023,USD,98.96,USD,98.96,USD,98.96,98.96,,,
06/09/2023,USD,98.95,USD,98.95,USD,98.95,98.95,,,
07/09/2023,USD,98.94,USD,98.94,USD,98.94,98.94,,,
08/09/2023,USD,99.04,USD,99.04,USD,99.04,99.04,,,
11/09/2023,USD,99.01,USD,99.01,USD,99.01,99.01,,,
12/09/2023,USD,98.99,USD,98.99,USD,98.99,98.99,,,
13/09/2023,USD,98.98,USD,98.98,USD,98.98,98.98,,,
14/09/2023,USD,98.97,USD,98.97,USD,98.97,98.97,,,
15/09/2023,USD,99.13,USD,99.13,USD,99.13,99.13,,,
18/09/2023,USD,98.94,USD,98.94,USD,98.94,98.94,,,
19/09/2023,USD,99.09,USD,99.09,USD,99.09,99.09,,,
20/09/2023,USD,99.06,USD,99.06,USD,99.06,99.06,,,
21/09/2023,USD,99.06,USD,99.06,USD,99.06,99.06,,,
22/09/2023,USD,99.46,USD,99.46,USD,99.46,99.46,,,
25/09/2023,USD,99.43,USD,99.43,USD,99.43,99.43,,,
26/09/2023,USD,99.42,USD,99.42,USD,99.42,99.42,,,
27/09/2023,USD,99.42,USD,99.42,USD,99.42,99.42,,,
28/09/2023,USD,99.41,USD,99.41,USD,99.41,99.41,,,
29/09/2023,USD,99.13,USD,99.13,USD,99.13,99.13,,,
02/10/2023,USD,99.11,USD,99.11,USD,99.11,99.11,,,
03/10/2023,USD,99.1,USD,99.1,USD,99.1,99.1,,,
04/10/2023,USD,99.09,USD,99.09,USD,99.09,99.09,,,
05/10/2023,USD,99.08,USD,99.08,USD,99.08,99.08,,,
06/10/2023,USD,98.9,USD,98.9,USD,98.9,98.9,,,
09/10/2023,USD,98.88,USD,98.88,USD,98.88,98.88,,,
10/10/2023,USD,98.87,USD,98.87,USD,98.87,98.87,,,
11/10/2023,USD,98.86,USD,98.86,USD,98.86,98.86,,,
12/10/2023,USD,98.85,USD,98.85,USD,98.85,98.85,,,
13/10/2023,USD,98.73,USD,98.73,USD,98.73,98.73,,,
16/10/2023,USD,98.7,USD,98.7,USD,98.7,98.7,,,
17/10/2023,USD,98.69,USD,98.69,USD,98.69,98.69,,,
18/10/2023,USD,98.69,USD,98.69,USD,98.69,98.69,,,
19/10/2023,USD,98.68,USD,98.68,USD,98.68,98.68,,,
20/10/2023,USD,98.31,USD,98.31,USD,98.31,98.31,,,
23/10/2023,USD,98.29,USD,98.29,USD,98.29,98.29,,,
24/10/2023,USD,98.28,USD,98.28,USD,98.28,98.28,,,
25/10/2023,USD,98.27,USD,98.27,USD,98.27,98.27,,,
26/10/2023,USD,98.26,USD,98.26,USD,98.26,98.26,,,
27/10/2023,USD,100.61,USD,100.61,USD,100.61,100.61,,,
30/10/2023,USD,100.58,USD,100.58,USD,100.58,100.58,,,
31/10/2023,USD,100.57,USD,100.57,USD,100.57,100.57,,,
01/11/2023,USD,100.57,USD,100.57,USD,100.57,100.57,,,
02/11/2023,USD,100.56,USD,100.56,USD,100.56,100.56,,,
03/11/2023,USD,97.63,USD,97.63,USD,97.63,97.63,,,
06/11/2023,USD,97.6,USD,97.6,USD,97.6,97.6,,,
07/11/2023,USD,97.6,USD,97.6,USD,97.6,97.6,,,
08/11/2023,USD,97.59,USD,97.59,USD,97.59,97.59,,,
09/11/2023,USD,97.58,USD,97.58,USD,97.58,97.58,,,
10/11/2023,USD,97.58,USD,97.58,USD,97.58,97.58,,,
13/11/2023,USD,97.54,USD,97.54,USD,97.54,97.54,,,
14/11/2023,USD,97.53,USD,97.53,USD,97.53,97.53,,,
15/11/2023,USD,97.5,USD,97.5,USD,97.5,97.5,,,
16/11/2023,USD,97.49,USD,97.49,USD,97.49,97.49,,,
17/11/2023,USD,97.48,USD,97.48,USD,97.48,97.48,,,
20/11/2023,USD,98.65,USD,98.65,USD,98.65,98.65,,,
21/11/2023,USD,98.64,USD,98.64,USD,98.64,98.64,,,
22/11/2023,USD,98.63,USD,98.63,USD,98.63,98.63,,,
23/11/2023,USD,98.63,USD,98.63,USD,98.63,98.63,,,
24/11/2023,USD,98.67,USD,98.67,USD,98.67,98.67,,,
27/11/2023,USD,98.64,USD,98.64,USD,98.64,98.64,,,
28/11/2023,USD,98.64,USD,98.64,USD,98.64,98.64,,,
29/11/2023,USD,98.63,USD,98.63,USD,98.63,98.63,,,
30/11/2023,USD,98.62,USD,98.62,USD,98.62,98.62,,,
01/12/2023,USD,99.81,USD,99.81,USD,99.81,99.81,,,
04/12/2023,USD,99.78,USD,99.78,USD,99.78,99.78,,,
05/12/2023,USD,99.77,USD,99.77,USD,99.77,99.77,,,
06/12/2023,USD,99.77,USD,99.77,USD,99.77,99.77,,,
07/12/2023,USD,99.76,USD,99.76,USD,99.76,99.76,,,
08/12/2023,USD,99.45,USD,99.45,USD,99.45,99.45,,,
11/12/2023,USD,99.43,USD,99.43,USD,99.43,99.43,,,
12/12/2023,USD,99.42,USD,99.42,USD,99.42,99.42,,,
13/12/2023,USD,99.41,USD,99.41,USD,99.41,99.41,,,
14/12/2023,USD,99.4,USD,99.4,USD,99.4,99.4,,,
15/12/2023,USD,99.87,USD,99.87,USD,99.87,99.87,,,
18/12/2023,USD,99.84,USD,99.84,USD,99.84,99.84,,,
19/12/2023,USD,99.84,USD,99.84,USD,99.84,99.84,,,
20/12/2023,USD,99.8,USD,99.8,USD,99.8,99.8,,,
21/12/2023,USD,99.8,USD,99.8,USD,99.8,99.8,,,
22/12/2023,USD,99.79,USD,99.79,USD,99.79,99.79,,,
27/12/2023,USD,99.75,USD,99.75,USD,99.75,99.75,,,
28/12/2023,USD,100.12,USD,100.12,USD,100.12,100.12,,,
29/12/2023,USD,99.89,USD,99.89,USD,99.89,99.89,,,
03/01/2024,USD,99.85,USD,99.85,USD,99.85,99.85,,,
04/01/2024,USD,99.84,USD,99.84,USD,99.84,99.84,,,
05/01/2024,USD,99.43,USD,99.43,USD,99.43,99.43,,,
08/01/2024,USD,99.4,USD,99.4,USD,99.4,99.4,,,
09/01/2024,USD,99.39,USD,99.39,USD,99.39,99.39,,,
10/01/2024,USD,99.39,USD,99.39,USD,99.39,99.39,,,
11/01/2024,USD,99.38,USD,99.38,USD,99.38,99.38,,,
12/01/2024,USD,99.89,USD,99.89,USD,99.89,99.89,,,
15/01/2024,USD,99.87,USD,99.87,USD,99.87,99.87,,,
16/01/2024,USD,99.86,USD,99.86,USD,99.86,99.86,,,
17/01/2024,USD,99.85,USD,99.85,USD,99.85,99.85,,,
18/01/2024,USD,99.84,USD,99.84,USD,99.84,99.84,,,
19/01/2024,USD,99.44,USD,99.44,USD,99.44,99.44,,,
22/01/2024,USD,99.41,USD,99.41,USD,99.41,99.41,,,
23/01/2024,USD,99.4,USD,99.4,USD,99.4,99.4,,,
24/01/2024,USD,99.4,USD,99.4,USD,99.4,99.4,,,
25/01/2024,USD,99.39,USD,99.39,USD,99.39,99.39,,,
26/01/2024,USD,98.25,USD,98.25,USD,98.25,98.25,,,
29/01/2024,USD,98.23,USD,98.23,USD,98.23,98.23,,,
30/01/2024,USD,98.22,USD,98.22,USD,98.22,98.22,,,
31/01/2024,USD,98.21,USD,98.21,USD,98.21,98.21,,,
01/02/2024,USD,98.21,USD,98.21,USD,98.21,98.21,,,
02/02/2024,USD,98.06,USD,98.06,USD,98.06,98.06,,,
05/02/2024,USD,98.04,USD,98.04,USD,98.04,98.04,,,
06/02/2024,USD,98.03,USD,98.03,USD,98.03,98.03,,,
07/02/2024,USD,98.02,USD,98.02,USD,98.02,98.02,,,
08/02/2024,USD,98.01,USD,98.01,USD,98.01,98.01,,,
09/02/2024,USD,98.9,USD,98.9,USD,98.9,98.9,,,
12/02/2024,USD,98.88,USD,98.88,USD,98.88,98.88,,,
13/02/2024,USD,98.87,USD,98.87,USD,98.87,98.87,,,
14/02/2024,USD,98.96,USD,98.96,USD,98.96,98.96,,,
15/02/2024,USD,98.96,USD,98.96,USD,98.96,98.96,,,
16/02/2024,USD,101.53,USD,101.53,USD,101.53,101.53,,,
19/02/2024,USD,101.5,USD,101.5,USD,101.5,101.5,,,
20/02/2024,USD,101.49,USD,101.49,USD,101.49,101.49,,,
21/02/2024,USD,101.48,USD,101.48,USD,101.48,101.48,,,
22/02/2024,USD,101.47,USD,101.47,USD,101.47,101.47,,,
23/02/2024,USD,100.38,USD,100.38,USD,100.38,100.38,,,
26/02/2024,USD,100.36,USD,100.36,USD,100.36,100.36,,,
27/02/2024,USD,100.35,USD,100.35,USD,100.35,100.35,,,
28/02/2024,USD,100.34,USD,100.34,USD,100.34,100.34,,,
29/02/2024,USD,100.33,USD,100.33,USD,100.33,100.33,,,
01/03/2024,USD,101.07,USD,101.07,USD,101.07,101.07,,,
04/03/2024,USD,101.05,USD,101.05,USD,101.05,101.05,,,
05/03/2024,USD,101.04,USD,101.04,USD,101.04,101.04,,,
06/03/2024,USD,101.03,USD,101.03,USD,101.03,101.03,,,
07/03/2024,USD,101.02,USD,101.02,USD,101.02,101.02,,,
08/03/2024,USD,100.54,USD,100.54,USD,100.54,100.54,,,
11/03/2024,USD,100.52,USD,100.52,USD,100.52,100.52,,,
12/03/2024,USD,100.51,USD,100.51,USD,100.51,100.51,,,
13/03/2024,USD,100.5,USD,100.5,USD,100.5,100.5,,,
14/03/2024,USD,100.49,USD,100.49,USD,100.49,100.49,,,
15/03/2024,USD,101.82,USD,101.82,USD,101.82,101.82,,,
18/03/2024,USD,101.79,USD,101.79,USD,101.79,101.79,,,
20/03/2024,USD,101.75,USD,101.75,USD,101.75,101.75,,,
21/03/2024,USD,101.74,USD,101.74,USD,101.74,101.74,,,
22/03/2024,USD,102.1,USD,102.1,USD,102.1,102.1,,,
25/03/2024,USD,102.07,USD,102.07,USD,102.07,102.07,,,
26/03/2024,USD,102.06,USD,102.06,USD,102.06,102.06,,,
27/03/2024,USD,102.06,USD,102.06,USD,102.06,102.06,,,
28/03/2024,USD,102.05,USD,102.05,USD,102.05,102.05,,,
02/04/2024,USD,102.01,USD,102.01,USD,102.01,102.01,,,
03/04/2024,USD,103.1,USD,103.1,USD,103.1,103.1,,,
04/04/2024,USD,103.09,USD,103.09,USD,103.09,103.09,,,
05/04/2024,USD,103.52,USD,103.52,USD,103.52,103.52,,,
08/04/2024,USD,103.5,USD,103.5,USD,103.5,103.5,,,
09/04/2024,USD,103.49,USD,103.49,USD,103.49,103.49,,,
10/04/2024,USD,103.48,USD,103.48,USD,103.48,103.48,,,
11/04/2024,USD,103.47,USD,103.47,USD,103.47,103.47,,,
12/04/2024,USD,104.28,USD,104.28,USD,104.28,104.28,,,
15/04/2024,USD,104.26,USD,104.26,USD,104.26,104.26,,,
16/04/2024,USD,104.25,USD,104.25,USD,104.25,104.25,,,
17/04/2024,USD,104.24,USD,104.24,USD,104.24,104.24,,,
18/04/2024,USD,105.48,USD,105.48,USD,105.48,105.48,,,
